,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
78,Byron Leftwich,JAX,QB,24,14,14,267,441,2941,15,10,39,148,3.79,2,1,1,-7,-7.00,0,5,3,2,,4,186,186.7,205.7,196.2,,16,78,LeftBy00
79,Kerry Collins,OAK,QB,32,14,13,289,513,3495,21,20,16,36,2.25,0,0,0,0,,0,7,3,0,,,181,181.4,207.4,201.4,,17,,CollKe00
80,Vinny Testaverde,DAL,QB,41,16,15,297,495,3532,17,20,21,38,1.81,1,0,0,0,,0,8,3,1,,1,175,175.1,201.1,195.1,,18,,TestVi00
81,Chad Pennington,NYJ,QB,28,13,13,242,370,2673,16,9,34,126,3.71,1,0,0,0,,0,5,2,1,,,168,167.5,184.5,176.5,,19,,PennCh01
82,Ben Roethlisberger,PIT,QB,22,14,13,196,295,2621,17,11,56,144,2.57,1,0,0,0,,0,2,2,1,,,167,167.2,186.2,178.2,,20,,RoetBe00
83,Drew Bledsoe,BUF,QB,32,16,16,256,450,2932,20,16,22,37,1.68,0,0,0,0,,0,9,5,0,,,159,159.0,183.0,175.0,,21,,BledDr00
84,Carson Palmer,CIN,QB,25,13,13,263,432,2897,18,18,18,47,2.61,1,0,0,0,,0,2,2,1,,,159,158.6,181.6,176.6,,22,,PalmCa00
85,Billy Volek,TEN,QB,28,10,8,218,357,2486,18,10,11,50,4.55,1,1,1,0,0.00,0,6,2,1,,,158,159.4,174.4,168.9,,23,,VoleBi00
86,Brian Griese,TAM,QB,29,11,10,233,336,2632,20,12,30,17,0.57,0,1,1,-4,-4.00,0,6,4,0,,,155,155.6,174.6,167.1,,24,,GrieBr00
87,Jamal Lewis,BAL,RB,25,12,12,0,0,0,0,0,235,1006,4.28,7,12,10,116,11.60,0,2,,7,,,154,164.2,170.2,159.2,,24,,LewiJa00
88,Larry Johnson,KAN,RB,25,10,3,0,0,0,0,0,120,581,4.84,9,29,22,278,12.64,2,0,,11,,,152,173.9,179.9,162.9,,25,,JohnLa00
89,Chris Brown,TEN,RB,23,11,11,0,0,0,0,0,220,1067,4.85,6,33,20,147,7.35,0,6,4,6,,,149,169.4,179.4,159.4,,26,,BrowCh03
90,Kyle Boller,BAL,QB,23,16,16,258,464,2559,13,11,53,189,3.57,1,0,0,0,,0,11,7,1,,1,145,145.3,169.3,156.3,,25,,BollKy00
91,Kevan Barlow,SFO,RB,25,15,14,0,0,0,0,0,244,822,3.37,7,45,35,212,6.06,0,2,2,7,,,141,176.4,184.4,158.9,,27,,BarlKe00
92,Josh McCown,ARI,QB,25,14,13,233,408,2511,11,10,36,112,3.11,2,1,1,-5,-5.00,0,12,5,2,1,,139,140.1,161.1,149.6,,26,,McCoJo01
93,Marshall Faulk,STL,RB,31,14,14,0,0,0,0,0,195,774,3.97,3,65,50,310,6.20,1,2,1,4,2,,134,184.4,191.4,159.4,,28,,FaulMa00
94,Derrick Blaylock,KAN,RB,25,12,5,0,0,0,0,0,118,539,4.57,8,36,25,246,9.84,1,0,,9,,,133,157.5,163.5,145.0,,29,,BlayDe00
95,Julius Jones,DAL,RB,23,8,7,0,0,0,0,0,197,819,4.16,7,26,17,109,6.41,0,3,3,7,,,129,145.8,154.8,137.3,,30,,JoneJu01
96,Roy Williams,DET,WR,23,14,12,0,1,0,0,0,1,1,1.00,0,118,54,817,15.13,8,1,1,8,,,128,181.8,185.8,154.8,,29,,WillRo04
97,Larry Fitzgerald,ARI,WR,21,16,16,0,0,0,0,0,8,14,1.75,0,115,58,780,13.45,8,1,,8,,,127,185.4,188.4,156.4,,30,,FitzLa00
98,T.J. Houshmandzadeh,CIN,WR,27,16,13,0,0,0,0,0,6,51,8.50,0,108,73,978,13.40,4,0,,4,,,127,199.9,202.9,163.4,,31,,HousTJ00
99,David Patten,NWE,WR,30,16,11,0,0,0,0,0,1,5,5.00,0,95,44,800,18.18,7,0,,7,,,123,166.5,169.5,144.5,,32,,PattDa00
100,Onterrio Smith,MIN,RB,24,11,6,0,0,0,0,0,124,544,4.39,2,45,36,394,10.94,2,2,1,4,1,,118,153.8,160.8,135.8,,31,,SmitOn00
101,Santana Moss,NYJ,WR,25,15,14,0,0,0,0,0,6,18,3.00,0,78,45,838,18.62,5,2,,5,,,116,160.6,163.6,138.1,,33,,MossSa00
102,Marcus Robinson,MIN,WR,29,16,7,0,0,0,0,0,0,0,,0,79,47,657,13.98,8,1,,8,,,114,160.7,163.7,137.2,,34,,RobiMa00
103,Steven Jackson,STL,RB,21,14,3,0,0,0,0,0,134,673,5.02,4,24,19,189,9.95,0,1,1,4,1,,110,129.2,136.2,119.7,,32,,JackSt00
104,Donte' Stallworth,NOR,WR,24,16,10,0,0,0,0,0,6,37,6.17,0,106,58,767,13.22,5,0,,5,,,110,168.4,171.4,139.4,,35,,StalDo00
105,Jeff Garcia,CLE,QB,34,11,10,144,252,1731,10,9,35,169,4.83,2,0,0,0,,0,9,7,2,,,106,106.1,128.1,115.1,,28,,GarcJe00
106,Tim Rattay,SFO,QB,27,9,9,198,325,2169,10,10,12,55,4.58,0,0,0,0,,0,11,6,0,1,2,106,106.3,125.3,116.3,,27,,RattTi00
107,Keary Colbert,CAR,WR,22,15,15,0,0,0,0,0,0,0,,0,92,47,754,16.04,5,1,1,5,1,,105,152.4,156.4,128.9,,36,,ColbKe00
