rank,player,team,position,age,games,games_started,completions,pass_attempts,pass_yards,pass_tds,ints,rush_attempts,rush_yards,yards_per_rush_attempt,rush_tds,targets,receptions,rec_yds,yards_per_rec,rec_tds,fumbles,fumbles_lost,rush_and_rec_td_total,two_point_convs_made,two_point_conv_passes,standard_fantasy_points,ppr_fantasy_points,draftkings_points,fanduel_points,vbd,pos_rank,overall_rank,player_id
228,Sterling Shepard,TAM,WR,31,14,5,0.0,0.0,0.0,0.0,0.0,8.0,69.0,8.63,0.0,51.0,32.0,334.0,10.44,1.0,0.0,0.0,1,1.0,,48.0,80.3,83.3,64.3,,92,,ShepSt00
229,Kenneth Gainwell,PHI,RB,25,17,1,0.0,0.0,0.0,0.0,0.0,75.0,290.0,3.87,1.0,22.0,16.0,116.0,7.25,0.0,0.0,0.0,1,,,47.0,62.6,68.6,54.6,,61,,GainKe00
230,Ezekiel Elliott,DAL,RB,29,15,2,0.0,0.0,0.0,0.0,0.0,74.0,226.0,3.05,3.0,15.0,12.0,69.0,5.75,0.0,1.0,1.0,3,,,46.0,57.5,61.5,51.5,,62,,ElliEz00
231,T.J. Hockenson,MIN,TE,27,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,62.0,41.0,455.0,11.1,0.0,0.0,0.0,0,,,46.0,86.5,89.5,66.0,,33,,HockTJ00
232,Marcus Mariota,WAS,QB,31,3,0,34.0,44.0,364.0,4.0,0.0,18.0,92.0,5.11,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,,,46.0,45.8,48.8,45.8,,45,,MariMa01
233,Jacoby Brissett,NWE,QB,32,8,5,95.0,161.0,826.0,2.0,1.0,15.0,62.0,4.13,0.0,0.0,0.0,0.0,,0.0,4.0,1.0,0,,1.0,45.0,45.2,50.2,46.2,,46,,BrisJa00
234,Jake Ferguson,DAL,TE,25,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,86.0,59.0,494.0,8.37,0.0,4.0,2.0,0,,,45.0,104.4,109.4,74.9,,34,,FergJa00
235,Chris Olave,NOR,WR,24,8,8,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,44.0,32.0,400.0,12.5,1.0,1.0,1.0,1,,,45.0,76.7,80.7,60.7,,93,,OlavCh00
236,Isiah Pacheco,KAN,RB,25,7,6,0.0,0.0,0.0,0.0,0.0,83.0,310.0,3.73,1.0,16.0,12.0,79.0,6.58,0.0,0.0,0.0,1,,,45.0,56.9,59.9,50.9,,63,,PachIs00
237,Brandin Cooks,DAL,WR,31,10,9,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,-1.0,0.0,54.0,26.0,259.0,9.96,3.0,0.0,0.0,3,,,44.0,69.6,72.6,56.6,,95,,CookBr00
238,Audric Estime,DEN,RB,21,13,1,0.0,0.0,0.0,0.0,0.0,76.0,310.0,4.08,2.0,5.0,5.0,27.0,5.4,0.0,2.0,1.0,2,,,44.0,48.7,52.7,46.2,,64,,EstiAu00
239,Christian Kirk,JAX,WR,28,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,47.0,27.0,379.0,14.04,1.0,0.0,0.0,1,,,44.0,70.9,73.9,57.4,,94,,KirkCh01
240,Josh Oliver,MIN,TE,27,15,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,22.0,258.0,11.73,3.0,0.0,0.0,3,,,44.0,65.8,68.8,54.8,,35,,OlivJo00
241,Michael Penix,ATL,QB,24,5,3,61.0,105.0,775.0,3.0,3.0,7.0,11.0,1.57,1.0,0.0,0.0,0.0,,0.0,2.0,0.0,1,,,44.0,44.1,50.1,47.1,,47,,PeniMi00
242,Evan Engram,JAX,TE,30,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,64.0,47.0,365.0,7.77,1.0,1.0,1.0,1,1.0,,43.0,89.5,93.5,66.0,,36,,EngrEv00
243,Dameon Pierce,HOU,RB,24,11,0,0.0,0.0,0.0,0.0,0.0,40.0,293.0,7.33,2.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,2,,,42.0,43.5,46.5,42.5,,65,,PierDa01
244,Trey Benson,ARI,RB,21,13,1,0.0,0.0,0.0,0.0,0.0,63.0,291.0,4.62,1.0,6.0,6.0,59.0,9.83,0.0,1.0,0.0,1,,,41.0,47.0,50.0,44.0,,66,,BensTr01
245,Rashee Rice,KAN,WR,24,4,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,29.0,24.0,288.0,12.0,2.0,0.0,0.0,2,,,41.0,64.9,67.9,52.9,,96,,RiceRa01
246,Justin Watson,KAN,WR,28,17,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,32.0,22.0,289.0,13.14,2.0,0.0,0.0,2,,,41.0,62.9,65.9,51.9,,97,,WatsJu01
247,Van Jefferson,PIT,WR,28,17,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,40.0,24.0,276.0,11.5,2.0,0.0,0.0,2,,,40.0,63.6,66.6,51.6,,98,,JeffVa00
248,Kalif Raymond,DET,WR,30,12,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,17.0,215.0,12.65,2.0,0.0,0.0,3,,,40.0,56.5,59.5,48.0,,99,,RaymKa00
249,Ja'Tavion Sanders,CAR,TE,21,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,43.0,33.0,342.0,10.36,1.0,1.0,0.0,1,,,40.0,73.2,76.2,56.7,,37,,SandJa01
250,Tyler Boyd,TEN,WR,30,16,8,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,57.0,39.0,390.0,10.0,0.0,0.0,0.0,0,,,39.0,78.3,81.3,58.8,,100,,BoydTy00
251,Emari Demercado,ARI,RB,25,13,0,0.0,0.0,0.0,0.0,0.0,24.0,223.0,9.29,1.0,20.0,16.0,104.0,6.5,0.0,0.0,0.0,1,,,39.0,54.7,60.7,46.7,,67,,DemeEm00
252,Troy Franklin,DEN,WR,21,16,6,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0,53.0,28.0,263.0,9.39,2.0,0.0,0.0,2,,,39.0,67.1,70.1,53.1,,101,,FranTr00
253,Theo Johnson,NYG,TE,23,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,43.0,29.0,331.0,11.41,1.0,0.0,0.0,1,,,39.0,68.1,71.1,53.6,,38,,JohnTh00
254,Kyle Juszczyk,SFO,FB,33,17,15,0.0,0.0,0.0,0.0,0.0,5.0,26.0,5.2,1.0,31.0,19.0,200.0,10.53,2.0,1.0,1.0,3,,,39.0,57.6,61.6,48.1,,68,,JuszKy00
255,Trey Sermon,IND,RB,25,17,3,0.0,0.0,0.0,0.0,0.0,56.0,159.0,2.84,2.0,19.0,16.0,99.0,6.19,0.0,0.0,0.0,2,,,38.0,53.8,56.8,45.8,,69,,SermTr00
256,Brandon Aiyuk,SFO,WR,26,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,47.0,25.0,374.0,14.96,0.0,0.0,0.0,0,,,37.0,62.4,65.4,49.9,,102,,AiyuBr00
257,Kendrick Bourne,NWE,WR,29,12,9,0.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,38.0,28.0,305.0,10.89,1.0,0.0,0.0,1,,,37.0,65.1,68.1,51.1,,104,,BourKe00
258,Dyami Brown,WAS,WR,25,16,3,0.0,1.0,0.0,0.0,0.0,3.0,26.0,8.67,0.0,40.0,30.0,308.0,10.27,1.0,1.0,1.0,1,,,37.0,67.4,71.4,52.4,,103,,BrowDy00
259,Isaiah Davis,NYJ,RB,22,17,0,0.0,0.0,0.0,0.0,0.0,30.0,174.0,5.8,1.0,12.0,9.0,75.0,8.33,1.0,0.0,0.0,2,,,37.0,45.9,48.9,41.4,,71,,DaviIs00
260,Dawson Knox,BUF,TE,28,16,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,33.0,22.0,311.0,14.14,1.0,0.0,0.0,1,,,37.0,59.1,62.1,48.1,,39,,KnoxDa00
261,Dare Ogunbowale,HOU,RB,30,17,1,0.0,0.0,0.0,0.0,0.0,30.0,112.0,3.73,0.0,28.0,19.0,198.0,10.42,1.0,0.0,0.0,1,,,37.0,56.0,62.0,46.5,,70,,OgunDa00
262,Grant Calcaterra,PHI,TE,26,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.0,24.0,298.0,12.42,1.0,0.0,0.0,1,,,36.0,59.8,62.8,47.8,,40,,CalcGr00
263,Mike Williams,2TM,WR,30,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,34.0,21.0,298.0,14.19,1.0,0.0,0.0,1,,,36.0,56.8,59.8,46.3,,105,,WillMi07
264,Nelson Agholor,BAL,WR,31,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,29.0,14.0,231.0,16.5,2.0,0.0,0.0,2,,,35.0,49.1,52.1,42.1,,106,,AghoNe00
265,Tyler Johnson,LAR,WR,26,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,41.0,26.0,291.0,11.19,1.0,0.0,0.0,1,,,35.0,61.1,64.1,48.1,,107,,JohnTy00
266,Colby Parkinson,LAR,TE,25,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,49.0,30.0,294.0,9.8,1.0,0.0,0.0,1,,,35.0,65.4,68.4,50.4,,41,,ParkCo02
267,JuJu Smith-Schuster,KAN,WR,28,14,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,26.0,18.0,231.0,12.83,2.0,0.0,0.0,2,,,35.0,53.1,56.1,44.1,,108,,SmitJu00
268,Gabriel Davis,JAX,WR,25,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,42.0,20.0,239.0,11.95,2.0,1.0,1.0,2,,,34.0,53.9,57.9,43.9,,109,,DaviGa01
269,Tyler Goodson,IND,RB,24,16,0,0.0,0.0,0.0,0.0,0.0,32.0,153.0,4.78,1.0,15.0,11.0,61.0,5.55,1.0,0.0,0.0,2,,,33.0,44.4,47.4,38.9,,72,,GoodTy00
270,Lil'Jordan Humphrey,DEN,WR,26,17,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,45.0,31.0,293.0,9.45,1.0,2.0,1.0,1,,,33.0,64.3,68.3,48.8,,110,,HumpLi01
271,Christian McCaffrey,SFO,RB,28,4,4,0.0,0.0,0.0,0.0,0.0,50.0,202.0,4.04,0.0,19.0,15.0,146.0,9.73,0.0,1.0,1.0,0,,,33.0,47.8,54.8,40.3,,73,,McCaCh01
272,Curtis Samuel,BUF,WR,28,14,2,0.0,0.0,0.0,0.0,0.0,5.0,14.0,2.8,0.0,46.0,31.0,253.0,8.16,1.0,0.0,0.0,1,,,33.0,63.7,66.7,48.2,,111,,SamuCu00
273,Tommy Tremble,CAR,TE,24,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,32.0,23.0,234.0,10.17,2.0,1.0,1.0,2,,,33.0,56.4,60.4,44.9,,42,,TremTo00
274,Josh Whyle,TEN,TE,25,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,37.0,28.0,248.0,8.86,1.0,0.0,0.0,1,1.0,,33.0,60.8,63.8,46.8,,43,,WhylJo01
275,Nick Vannett,TEN,TE,31,17,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,17.0,135.0,7.94,3.0,0.0,0.0,3,,,32.0,48.5,51.5,40.0,,44,,VannNi00
276,Chris Brooks,GNB,RB,24,15,0,0.0,0.0,0.0,0.0,0.0,36.0,183.0,5.08,1.0,13.0,11.0,69.0,6.27,0.0,0.0,0.0,1,,,31.0,42.2,45.2,36.7,,74,,BrooCh00
277,Joshua Dobbs,SFO,QB,29,2,1,32.0,47.0,361.0,2.0,2.0,9.0,24.0,2.67,2.0,0.0,0.0,0.0,,0.0,2.0,1.0,2,,,31.0,30.8,36.8,32.8,,48,,DobbJo00
278,John Metchie,HOU,WR,24,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,37.0,24.0,254.0,10.58,1.0,1.0,0.0,1,,,31.0,55.4,58.4,43.4,,112,,MetcJo00
279,Adonai Mitchell,IND,WR,22,17,7,1.0,1.0,24.0,0.0,0.0,4.0,6.0,1.5,0.0,55.0,23.0,312.0,13.57,0.0,2.0,1.0,0,,,31.0,53.8,57.8,42.3,,114,,MitcAd00
280,Chris Rodriguez,WAS,RB,24,9,0,0.0,0.0,0.0,0.0,0.0,35.0,173.0,4.94,2.0,1.0,1.0,12.0,12.0,0.0,0.0,0.0,2,,,31.0,31.5,34.5,31.0,,75,,RodrCh00
281,Adam Trautman,DEN,TE,27,17,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,13.0,188.0,14.46,2.0,0.0,0.0,2,,,31.0,43.8,46.8,37.3,,45,,TrauAd00
282,DJ Turner,LVR,WR,27,12,6,0.0,0.0,0.0,0.0,0.0,5.0,33.0,6.6,1.0,29.0,16.0,158.0,9.88,1.0,1.0,0.0,2,,,31.0,47.1,50.1,39.1,,113,,TurnDJ00
283,Jordan Whittington,LAR,WR,24,15,3,0.0,0.0,0.0,0.0,0.0,2.0,12.0,6.0,0.0,28.0,22.0,293.0,13.32,0.0,0.0,0.0,0,,,31.0,52.5,55.5,41.5,,115,,WhitJo04
284,Nate Adkins,DEN,TE,25,17,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15.0,14.0,115.0,8.21,3.0,0.0,0.0,3,,,30.0,43.5,46.5,36.5,,47,,AdkiNa00
285,Hassan Haskins,LAC,RB,25,17,0,0.0,0.0,0.0,0.0,0.0,34.0,89.0,2.62,2.0,3.0,3.0,49.0,16.33,1.0,1.0,1.0,3,,,30.0,32.8,33.8,31.3,,76,,HaskHa00
286,Luke Schoonmaker,DAL,TE,26,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,36.0,27.0,241.0,8.93,1.0,0.0,0.0,1,,,30.0,57.1,60.1,43.6,,46,,SchoLu00
287,Cedrick Wilson Jr.,NOR,WR,29,15,4,1.0,1.0,21.0,1.0,0.0,0.0,0.0,,0.0,27.0,20.0,211.0,10.55,1.0,1.0,1.0,1,,,30.0,49.9,53.9,39.9,,116,,WilsCe01
288,Elijah Higgins,ARI,TE,24,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,24.0,20.0,172.0,8.6,2.0,0.0,0.0,2,,,29.0,49.2,52.2,39.2,,48,,HiggEl00
289,Tanner McKee,PHI,QB,24,2,1,30.0,45.0,323.0,4.0,0.0,5.0,-1.0,-0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,29.0,28.8,31.8,28.8,,49,,McKeTa01
290,Malik Washington,MIA,WR,23,14,3,0.0,0.0,0.0,0.0,0.0,5.0,25.0,5.0,1.0,36.0,26.0,223.0,8.58,0.0,1.0,1.0,1,,,29.0,54.8,58.8,41.8,,117,,WashMa00
291,Kimani Vidal,LAC,RB,23,10,0,0.0,0.0,0.0,0.0,0.0,43.0,155.0,3.6,0.0,9.0,5.0,62.0,12.4,1.0,1.0,0.0,1,,,28.0,32.7,35.7,30.2,,78,,VidaKi00
292,Jamaal Williams,NOR,RB,29,14,1,0.0,0.0,0.0,0.0,0.0,48.0,164.0,3.42,1.0,11.0,9.0,57.0,6.33,0.0,0.0,0.0,1,,,28.0,37.1,40.1,32.6,,77,,WillJa06
293,Blake Corum,LAR,RB,24,17,1,0.0,0.0,0.0,0.0,0.0,58.0,207.0,3.57,0.0,8.0,7.0,58.0,8.29,0.0,0.0,0.0,0,,,27.0,33.5,36.5,30.0,,81,,CoruBl00
294,Derius Davis,LAC,WR,24,15,2,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,0.0,17.0,13.0,112.0,8.62,2.0,3.0,0.0,2,,,27.0,40.1,43.1,33.6,,118,,DaviDe02
295,D'Onta Foreman,CLE,RB,28,11,3,0.0,0.0,0.0,0.0,0.0,71.0,232.0,3.27,0.0,8.0,6.0,54.0,9.0,0.0,2.0,1.0,0,,,27.0,32.6,36.6,29.6,,80,,ForeDO00
296,Patrick Taylor,SFO,RB,26,13,1,0.0,0.0,0.0,0.0,0.0,39.0,183.0,4.69,1.0,11.0,3.0,25.0,8.33,0.0,0.0,0.0,1,,,27.0,29.8,32.8,28.3,,79,,TaylPa01
297,Johnny Mundt,MIN,TE,30,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,27.0,19.0,142.0,7.47,2.0,0.0,0.0,2,,,26.0,45.2,48.2,35.7,,49,,MundJo00
298,Cordarrelle Patterson,PIT,RB,33,13,1,0.0,0.0,0.0,0.0,0.0,32.0,135.0,4.22,0.0,14.0,12.0,80.0,6.67,1.0,1.0,1.0,1,,,26.0,37.5,41.5,31.5,,82,,PattCo00
299,Darnell Washington,PIT,TE,23,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,25.0,19.0,200.0,10.53,1.0,0.0,0.0,1,,,26.0,45.0,48.0,35.5,,50,,WashDa03
300,Michael Carter,ARI,RB,25,3,1,0.0,0.0,0.0,0.0,0.0,35.0,131.0,3.74,1.0,11.0,11.0,57.0,5.18,0.0,0.0,0.0,1,,,25.0,35.8,38.8,30.3,,83,,CartMi03
301,KhaDarel Hodge,ATL,WR,29,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,7.0,131.0,18.71,1.0,0.0,0.0,2,,,25.0,32.1,35.1,28.6,,121,,HodgKh00
302,Ryan Miller,TAM,WR,24,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,12.0,128.0,10.67,2.0,0.0,0.0,2,,,25.0,36.8,39.8,30.8,,122,,MillRy01
303,Kenny Pickett,PHI,QB,26,5,1,25.0,42.0,291.0,2.0,1.0,9.0,15.0,1.67,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1,,,25.0,25.1,26.1,26.1,,50,,PickKe00
304,Josh Reynolds,2TM,WR,29,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,24.0,13.0,194.0,14.92,1.0,0.0,0.0,1,,,25.0,38.4,41.4,31.9,,119,,ReynJo00
305,Tylan Wallace,BAL,WR,25,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,11.0,193.0,17.55,1.0,1.0,0.0,1,,,25.0,36.3,39.3,30.8,,120,,WallTy00
306,Jalen Brooks,DAL,WR,24,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.0,12.0,177.0,14.75,1.0,0.0,0.0,1,,,24.0,35.7,38.7,29.7,,123,,BrooJa03
307,Payne Durham,TAM,TE,24,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,14.0,11.0,115.0,10.45,2.0,1.0,0.0,2,,,24.0,34.5,37.5,29.0,,51,,DurhPa00
308,D'Ernest Johnson,JAX,RB,28,14,1,0.0,0.0,0.0,0.0,0.0,32.0,143.0,4.47,0.0,19.0,12.0,96.0,8.0,0.0,0.0,0.0,0,,,24.0,35.9,38.9,29.9,,85,,JohnDE04
309,Kendre Miller,NOR,RB,22,6,2,0.0,0.0,0.0,0.0,0.0,39.0,148.0,3.79,1.0,8.0,5.0,33.0,6.6,0.0,0.0,0.0,1,,,24.0,29.1,32.1,26.6,,84,,MillKe01
310,Jaylen Wright,MIA,RB,21,15,1,0.0,0.0,0.0,0.0,0.0,68.0,249.0,3.66,0.0,6.0,3.0,8.0,2.67,0.0,1.0,1.0,0,,,24.0,26.7,30.7,25.2,,86,,WrigJa04
311,Jahan Dotson,PHI,WR,24,17,6,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,0.0,33.0,19.0,216.0,11.37,0.0,0.0,0.0,0,,,23.0,41.9,44.9,32.4,,125,,DotsJa00
312,Trey Palmer,TAM,WR,23,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,12.0,172.0,14.33,1.0,1.0,0.0,1,,,23.0,35.2,38.2,29.2,,124,,PalmTr00
313,Zamir White,LVR,RB,25,8,5,0.0,0.0,0.0,0.0,0.0,65.0,183.0,2.82,1.0,8.0,6.0,30.0,5.0,0.0,2.0,2.0,1,,,23.0,29.3,34.3,26.3,,87,,WhitZa01
314,Ty Chandler,MIN,RB,26,17,0,0.0,0.0,0.0,0.0,0.0,56.0,182.0,3.25,0.0,6.0,6.0,42.0,7.0,0.0,0.0,0.0,0,,,22.0,28.4,31.4,25.4,,88,,ChanTy01
315,Malik Heath,GNB,WR,24,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,10.0,97.0,9.7,2.0,0.0,0.0,2,,,22.0,31.7,31.7,26.7,,126,,HeatMa00
316,Khalil Herbert,2TM,RB,26,14,1,0.0,0.0,0.0,0.0,0.0,36.0,130.0,3.61,1.0,11.0,10.0,25.0,2.5,0.0,1.0,0.0,1,,,22.0,31.5,34.5,26.5,,89,,HerbKh00
317,Desmond Ridder,LVR,QB,25,6,1,52.0,85.0,458.0,2.0,2.0,9.0,36.0,4.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,0,,,22.0,21.9,28.9,23.9,,51,,RiddDe00
318,Brock Wright,DET,TE,26,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16.0,13.0,100.0,7.69,2.0,0.0,0.0,2,,,22.0,35.0,38.0,28.5,,52,,WrigBr01
319,Mo Alie-Cox,IND,TE,31,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,12.0,147.0,12.25,1.0,0.0,0.0,1,,,21.0,32.7,35.7,26.7,,53,,AlieMo00
320,Mecole Hardman,KAN,WR,26,12,0,0.0,0.0,0.0,0.0,0.0,5.0,62.0,12.4,1.0,14.0,12.0,90.0,7.5,0.0,0.0,0.0,1,,,21.0,33.2,33.2,27.2,,127,,HardMe00
321,Sincere McCormick,LVR,RB,24,5,2,0.0,0.0,0.0,0.0,0.0,39.0,183.0,4.69,0.0,7.0,6.0,29.0,4.83,0.0,0.0,0.0,0,,,21.0,27.2,30.2,24.2,,90,,McCoSi00
322,Ja'Lynn Polk,NWE,WR,22,15,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,12.0,87.0,7.25,2.0,0.0,0.0,2,,,21.0,32.7,32.7,26.7,,128,,PolkJa00
323,Pierre Strong,CLE,RB,26,14,0,0.0,0.0,0.0,0.0,0.0,26.0,108.0,4.15,0.0,22.0,14.0,104.0,7.43,0.0,0.0,0.0,0,,,21.0,35.2,41.2,28.2,,91,,StroPi00
324,Jimmy Garoppolo,LAR,QB,33,1,1,27.0,41.0,334.0,2.0,1.0,2.0,5.0,2.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,20.0,19.9,23.9,20.9,,53,,GaroJi00
325,Tanner Hudson,CIN,TE,30,11,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,23.0,19.0,154.0,8.11,1.0,1.0,1.0,1,,,20.0,38.5,42.5,29.0,,54,,HudsTa00
326,Dante Pettis,NOR,WR,29,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,12.0,120.0,10.0,1.0,0.0,0.0,1,1.0,,20.0,32.0,35.0,26.0,,129,,PettDa00
327,Tyrod Taylor,NYJ,QB,35,2,0,17.0,22.0,119.0,3.0,0.0,3.0,13.0,4.33,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0,,1.0,20.0,20.1,20.1,20.1,,52,,TaylTy00
328,Michael Burton,DEN,FB,32,17,2,0.0,0.0,0.0,0.0,0.0,7.0,8.0,1.14,1.0,10.0,10.0,65.0,6.5,1.0,0.0,0.0,2,,,19.0,29.3,29.3,24.3,,93,,BurtMi00
329,Jamycal Hasty,NWE,RB,28,15,0,0.0,0.0,0.0,0.0,0.0,20.0,69.0,3.45,0.0,12.0,10.0,59.0,5.9,1.0,0.0,0.0,1,,,19.0,28.8,28.8,23.8,,94,,HastJa02
330,Tyler Higbee,LAR,TE,31,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,8.0,66.0,8.25,2.0,0.0,0.0,2,,,19.0,26.6,26.6,22.6,,58,,HigbTy00
331,Charlie Kolar,BAL,TE,25,13,3,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,11.0,9.0,131.0,14.56,1.0,0.0,0.0,1,,,19.0,28.3,31.3,23.8,,55,,KolaCh00
332,Kenny McIntosh,SEA,RB,24,17,0,0.0,0.0,0.0,0.0,0.0,31.0,172.0,5.55,0.0,4.0,3.0,22.0,7.33,0.0,0.0,0.0,0,,,19.0,22.4,25.4,20.9,,92,,McInKe00
333,Joe Milton,NWE,QB,24,1,0,22.0,29.0,241.0,1.0,0.0,10.0,16.0,1.6,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1,,,19.0,19.2,20.2,19.2,,54,,MiltJo00
334,Stone Smartt,LAC,TE,26,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,19.0,16.0,208.0,13.0,0.0,1.0,1.0,0,,,19.0,34.8,38.8,26.8,,57,,SmarSt00
335,Cade Stover,HOU,TE,24,15,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,15.0,133.0,8.87,1.0,0.0,0.0,1,,,19.0,34.3,37.3,26.8,,56,,StovCa00
336,DeeJay Dallas,ARI,RB,26,17,0,0.0,0.0,0.0,0.0,0.0,9.0,49.0,5.44,0.0,3.0,3.0,11.0,3.67,1.0,1.0,0.0,2,,,18.0,21.0,21.0,19.5,,95,,DallDe00
337,Kylen Granson,IND,TE,26,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,31.0,14.0,182.0,13.0,0.0,0.0,0.0,0,,,18.0,32.2,35.2,25.2,,59,,GranKy00
338,Bub Means,NOR,WR,23,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15.0,9.0,118.0,13.11,1.0,0.0,0.0,1,,,18.0,26.8,29.8,22.3,,131,,MeanBu00
339,Craig Reynolds,DET,RB,28,17,0,0.0,0.0,0.0,0.0,0.0,31.0,139.0,4.48,0.0,5.0,3.0,40.0,13.33,0.0,1.0,0.0,0,,,18.0,20.9,23.9,19.4,,96,,ReynCr00
340,Robert Woods,HOU,WR,32,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.0,20.0,203.0,10.15,0.0,3.0,1.0,0,,,18.0,38.3,42.3,28.3,,130,,WoodRo02
341,Jake Bobo,SEA,WR,26,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.0,13.0,107.0,8.23,1.0,0.0,0.0,1,,,17.0,29.7,32.7,23.2,,135,,BoboJa00
342,Jamison Crowder,WAS,WR,31,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,9.0,72.0,8.0,2.0,2.0,1.0,2,,,17.0,26.2,27.2,21.7,,132,,CrowJa00
343,Ashton Dulin,IND,WR,27,15,2,0.0,0.0,0.0,0.0,0.0,5.0,45.0,9.0,0.0,8.0,2.0,67.0,33.5,1.0,0.0,0.0,1,,,17.0,19.2,19.2,18.2,,133,,DuliAs00
344,Luke McCaffrey,WAS,WR,23,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,24.0,18.0,168.0,9.33,0.0,0.0,0.0,0,,,17.0,34.8,37.8,25.8,,134,,McCaLu00
